¤u¼t¦WºÙ,¤u¼tµn°O½s¸¹,¤u¼t³]¥ß³\¥i®×¸¹,¤u¼t¦a§},¤u¼t¥«Âí¶m§ø¨½,¤u¼t­t³d¤H©m¦W,²Î¤@½s¸¹,¤u¼t²ÕÂ´«¬ºA,¤u¼t³]¥ß®Ö­ã¤é´Á,¤u¼tµn°O®Ö­ã¤é´Á,¤u¼tµn°Oª¬ºA,²£·~Ãþ§O,¥D­n²£«~
µØ·s¥Ö¥ó¦³­­¤½¥q,S0700457,,¹ü¤Æ¿¤¹ü¤Æ¥«°ê¸t¨½¤¤¤s¸ô¤T¬q714«Ñ70-2¸¹,¹ü¤Æ¿¤¹ü¤Æ¥«°ê¸t¨½,¦ó°¶·s,24279763,¦³­­¤½¥q,,1090527,¥Í²£¤¤,13¥Ö­²¡B¤ò¥Ö¤Î¨ä»s«~»s³y·~,130¥Ö­²¡B¤ò¥Ö¤Î¨ä»s«~
¹Å§e¿³·~ªÑ¥÷¦³­­¤½¥q,S0400043,,·s¦Ë¿¤·sÂ×¶m¤¤±[§ø¤¤±[323¡B323-1¡B324¡B324-1¡B324-2¸¹,·s¦Ë¿¤·sÂ×¶m¤¤±[§ø,©P¨|¦w,22814917,ªÑ¥÷¦³­­¤½¥q,,1090529,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B25ª÷ÄÝ»s«~»s³y·~¡B30¨T¨®¤Î¨ä¹s¥ó»s³y·~¡B31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B303¨T¨®¹s¥ó¡B312¾÷¨®¤Î¨ä¹s¥ó
·ç°ò®ü¬v¥Íª«¬ì§ÞªÑ¥÷¦³­­¤½¥q¬ì¶®¼t,93B00036,,¤¤³¡¬ì¾Ç¶é°Ï»O¤¤¥«¤j¶®°Ï¬ì¶®¸ô35¸¹4¼Ó¡B37¸¹4¼Ó,»O¤¤¥«¤j¶®°Ï,¼B¥¿©¾,27489806,ªÑ¥÷¦³­­¤½¥q,,1100222,¥Í²£¤¤,33¨ä¥L»s³y·~,332ÂåÀø¾¹§÷¤Î¥Î«~
ª÷©ô¨Ó¤u·~ªÑ¥÷¦³­­¤½¥q,99655567,7.51E+12,¹Å¸q¿¤¥Á¶¯¶m¤j±T§ø¢°¢³¥Ò¢°¢µ¤§¢±¢³¸¹,¹Å¸q¿¤¥Á¶¯¶m¤j±T§ø,§d²M±Ó,97369430,ªÑ¥÷¦³­­¤½¥q,750416,750416,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,253ª÷ÄÝ®e¾¹
¸Û§I¤u·~ªÑ¥÷¦³­­¤½¥q¤G¼t,S6400254,,°ª¶¯¥«¤j¼d°Ï¤W¼d¨½17¾F¤W¼d¸ô225-10¸¹,°ª¶¯¥«¤j¼d°Ï¤W¼d¨½,³¯¹B¼y,22260747,ªÑ¥÷¦³­­¤½¥q,,1090723,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
¹F¿ûÄÉÀ\¶¼³]³ÆÅU°Ý¦³­­¤½¥q,65006206,,·s¥_¥«¾ðªL°Ï¤T¦h¨½¤¤¥¿¸ô657«Ñ3¸¹1¼Ó,·s¥_¥«¾ðªL°Ï¤T¦h¨½,ªL¸tªÛ,50982576,¦³­­¤½¥q,,1060822,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~¡B32®a¨ã»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B293³q¥Î¾÷±ñ³]³Æ¡B322ª÷ÄÝ®a¨ã
¦¨®õ¥Íª«¬ì§Þ¦³­­¤½¥q¤¤©M¼t,65007247,,·s¥_¥«¤¤©M°Ï¤¤¤s¸ô2¬q448¸¹3¼Ó,·s¥_¥«¤¤©M°Ï,ªL·ç·ì,27623233,¦³­­¤½¥q,,1071008,¥Í²£¤¤,08­¹«~»s³y·~,089¨ä¥L­¹«~
?Â×¥ø·~¦³­­¤½¥q,99661767,,°ª¶¯¥«¤¯ªZ°Ï¦Ë«á¨½¦Ë·£¸ô¢²¢´¸¹,°ª¶¯¥«¤¯ªZ°Ï¦Ë«á¨½,³¢±Ò«G,84563242,¦³­­¤½¥q,,901031,¥Í²£¤¤,24°ò¥»ª÷ÄÝ»s³y·~¡B25ª÷ÄÝ»s«~»s³y·~,241¿ûÅK¡B252ª÷ÄÝµ²ºc¤Î«Ø¿v²Õ¥ó
«H»¨±m¦â¦L¨ê¦³­­¤½¥q,S6300025,,»O¥_¥«¤hªL°ÏªÀ·s¨½ªÀ¤lµó¤»¤Q¤T«Ñ¤E§Ë¤Q¥|¸¹,»O¥_¥«¤hªL°ÏªÀ·s¨½,§d¤å¦N,22645878,¦³­­¤½¥q,,1090820,¥Í²£¤¤,16¦L¨ê¤Î¸ê®ÆÀx¦s´CÅé½Æ»s·~,160¦L¨ê¤Î¸ê®ÆÀx¦s´CÅé½Æ»s
¹©õW­¹«~¦³­­¤½¥q,17000003,,°ò¶©¥«¤C°ô°Ï¤»°ô¨½¤u«Ø«n¸ô7¤§3¸¹,°ò¶©¥«¤C°ô°Ï¤»°ô¨½,³¯¸t®õ,53160125,¦³­­¤½¥q,,991213,¥Í²£¤¤,08­¹«~»s³y·~,089¨ä¥L­¹«~
¦N¬ÕÂ´³y¦³­­¤½¥qÂk¤¯¼t,S6700175,,»O«n¥«Âk¤¯°Ï¤C¥Ò¨½11¾F«n¤B¸ô73«Ñ80¸¹,»O«n¥«Âk¤¯°Ï¤C¥Ò¨½,¼B®Ñ»ô,23194035,¦³­­¤½¥q,,1090811,¥Í²£¤¤,11¯¼Â´·~,115¯¼Â´«~
µ{µØ¤u·~ªÑ¥÷¦³­­¤½¥q¤G¼t,S6400195,,°ª¶¯¥«¿P±_°Ï¦w©Û¨½¤¤¦w¸ô345-6¸¹,°ª¶¯¥«¿P±_°Ï¦w©Û¨½,ÃQºÖ¿³,22550181,ªÑ¥÷¦³­­¤½¥q,,1090710,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
¹F¦¨¶ì½¦¦³­­¤½¥q,S0500087,,­]®ß¿¤­b¸ÌÂí¥Ð¤ß¨½¤Q¾F¥Ð¤ß¤E¤­¤§¤E¸¹,­]®ß¿¤­b¸ÌÂí¥Ð¤ß¨½,¸â»Ê¬w,22995092,¦³­­¤½¥q,,1090617,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~¡B22¶ì½¦»s«~»s³y·~,220¶ì½¦»s«~
³Í®åºë±K¤u·~ªÑ¥÷¦³­­¤½¥q¤@¼t,S6601047,,»O¤¤¥«¤j¨½°Ï®L¥Ð¨½°ê¤¤¸ô607«Ñ12¸¹,»O¤¤¥«¤j¨½°Ï®L¥Ð¨½,ÃQ®¶³Í,23379455,ªÑ¥÷¦³­­¤½¥q,,1090909,¥Í²£¤¤,27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~¡B31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~,277¥ú¾Ç»ö¾¹¤Î³]³Æ¡B313¦Û¦æ¨®¤Î¨ä¹s¥ó
´Ë¥ü¥ÍÂåªÑ¥÷¦³­­¤½¥q,65009727,,·s¥_¥«·s©±°Ï´_¿³¨½¥_·s¸ô3¬q145¸¹5¼Ó,·s¥_¥«·s©±°Ï´_¿³¨½,§õ¬F¿Î,28815625,ªÑ¥÷¦³­­¤½¥q,,1100826,¥Í²£¤¤,20ÃÄ«~¤ÎÂå¥Î¤Æ¾Ç»s«~»s³y·~,200ÃÄ«~¤ÎÂå¥Î¤Æ¾Ç»s«~
¯þ«É¤uµ{¦æ¤u¼t,7003820,,¹ü¤Æ¿¤°ñÀY¶mÂ×±[§ø¥ú´_ªF¸ô55¸¹1¼Ó,¹ü¤Æ¿¤°ñÀY¶mÂ×±[§ø,¬x§Ó©ú,47551692,¿W¸ê,,1090825,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,252ª÷ÄÝµ²ºc¤Î«Ø¿v²Õ¥ó¡B254ª÷ÄÝ¥[¤u³B²z
®p¥úºë±K¤u·~¦³­­¤½¥q,99636449,6.71E+12,»O¤¤¥«¯«©£°Ï©¤¸Ì¨½¤j´I¸ô69¸¹,»O¤¤¥«¯«©£°Ï©¤¸Ì¨½,¨¦´Q,79982414,¦³­­¤½¥q,580101,681023,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,251ª÷ÄÝ¤M¨ã¡B¤â¤u¨ã¤Î¼Ò¨ã
ªFì÷¥ø·~¦³­­¤½¥qÂ×­ì¼t,66008454,,»O¤¤¥«Â×­ì°ÏñT§ø¨½ÅI§ø¸ô271«Ñ1¤§1¸¹,»O¤¤¥«Â×­ì°ÏñT§ø¨½,³¯«Û¹ü,24213828,¦³­­¤½¥q,,1090810,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,293³q¥Î¾÷±ñ³]³Æ
¤sµØ¥ø·~ªÑ¥÷¦³­­¤½¥q¤E¦p¼t,99665762,,«ÌªF¿¤¤E¦p¶mªF¹ç§ø¤E¦p¸ô1¬q18¸¹,«ÌªF¿¤¤E¦p¶mªF¹ç§ø,¶À¬f»a,22543871,ªÑ¥÷¦³­­¤½¥q,,910510,¥Í²£¤¤,12¦¨¦ç¤ÎªA¹¢«~»s³y·~,121¦¨¦ç
ÂEøÊ¤­ª÷¥ø·~ªÀ,S6400365,,°ª¶¯¥«©£¤s°Ï¹Å¿³¨½¹ÅµØ¸ô¢³¢¶¡Ð¢³¢·¸¹,°ª¶¯¥«©£¤s°Ï¹Å¿³¨½,ªL«T²M,25728801,¿W¸ê,,1090825,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
¤[¼y°ê»Ú²î·~ªÑ¥÷¦³­­¤½¥qÁ`¼t,64008804,,°ª¶¯¥«­XÛ_°Ï±Tº|¨½¤j«i¸ô1¸¹,°ª¶¯¥«­XÛ_°Ï±Tº|¨½,¿à«Û§¡,45142715,ªÑ¥÷¦³­­¤½¥q,,1090921,¥Í²£¤¤,31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~¡B31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~,311²î²í¤Î¯B°Ê³]¬I
¥ß¤}½¦·~¦³­­¤½¥q,S0200006,,©yÄõ¿¤¥V¤s¶m¼s¿³§ø¼s¿³¸ô680«Ñ98¸¹,©yÄõ¿¤¥V¤s¶m¼s¿³§ø,ÁÂºa½÷,84173639,¦³­­¤½¥q,,1090513,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~¡B22¶ì½¦»s«~»s³y·~¡B21¾ó½¦»s«~»s³y·~,293³q¥Î¾÷±ñ³]³Æ¡B220¶ì½¦»s«~¡B210¾ó½¦»s«~
¤[¤j¿³¥ø·~¦³­­¤½¥q,S6601028,,»O¤¤¥«¯Q¤é°Ï·ËÔÅ¨½·Ë«n¸ô¤@¬q988«Ñ25¸¹,»O¤¤¥«¯Q¤é°Ï·ËÔÅ¨½,³\²Q¬ü,16550091,¦³­­¤½¥q,,1090910,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,292¨ä¥L±M¥Î¾÷±ñ³]³Æ
³Ó©T¨È¹ê·~¦³­­¤½¥q¤G¼t,S6601108,,»O¤¤¥«¯Q¤é°Ï¥_¨½¨½¤Ó©ú¸ô¦¨Â×«Ñ50-25¸¹,»O¤¤¥«¯Q¤é°Ï¥_¨½¨½,¹ùÄ~±ç,16277360,¦³­­¤½¥q,,1090910,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z
ª÷«³¹F¥ø·~¦³­­¤½¥q¤@¼t,9001077,1.091E+13,¶³ªL¿¤³Á¼d¶m¿³µØ§ø©¾¿³13-11¸¹,¶³ªL¿¤³Á¼d¶m¿³µØ§ø,¹ù¤h»«,80744221,¦³­­¤½¥q,1091211,1091230,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
º~¨Î­µ¬ì§ÞªÑ¥÷¦³­­¤½¥q,67002784,,»O«n¥«¤¯¼w°Ï«O¦w¨½¤G¤¯¸ô¤@¬q154¸¹,»O«n¥«¤¯¼w°Ï«O¦w¨½,©P¥@µØ,83720119,ªÑ¥÷¦³­­¤½¥q,,1090819,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,253ª÷ÄÝ®e¾¹¡B259¨ä¥Lª÷ÄÝ»s«~
Àu²±Âå¾Ç¬ì§ÞªÑ¥÷¦³­­¤½¥q¤º´ò¼t,63020186,8.963E+12,»O¥_¥«¤º´ò°Ï´äáY¨½´äáY¸ô¤@¤K¤E¸¹¤Q¤G¼Ó,»O¥_¥«¤º´ò°Ï´äáY¨½,¼B§Ó¥­,23123644,ªÑ¥÷¦³­­¤½¥q,890731,891017,¥Í²£¤¤,27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~,272³q°T¶Ç¼½³]³Æ¡B276¿ç®g¤Î¹q¤lÂå¾Ç³]³Æ
¥¿¶©¤u·~ªÑ¥÷¦³­­¤½¥q,63021477,6.263E+12,»O¥_¥««n´ä°Ï¦X¦¨¨½©¾§µªF¸ô¤»¬q¥|¢¯¤T«Ñ¤@§Ë¤@¸¹¤@¼Ó,»O¥_¥««n´ä°Ï¦X¦¨¨½,³¯¥ú©M,4779369,ªÑ¥÷¦³­­¤½¥q,620612,640606,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~¡B33¨ä¥L»s³y·~¡B30¨T¨®¤Î¨ä¹s¥ó»s³y·~,293³q¥Î¾÷±ñ³]³Æ¡B339¥¼¤ÀÃþ¨ä¥L»s«~¡B302¨®Åé
øÊÀuªÑ¥÷¦³­­¤½¥q,S6600279,,»O¤¤¥«¯Q¤é°ÏªF¶é¨½·Ë«n¸ô¤@¬q126«Ñ281§Ë115¸¹,»O¤¤¥«¯Q¤é°ÏªF¶é¨½,Öß³Ó¬K,89906041,ªÑ¥÷¦³­­¤½¥q,,1090622,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
¥x®ï¹ê·~ªÑ¥÷¦³­­¤½¥q®ç¶é¼t,99623959,7.01E+12,®ç¶é¥«Àt¤s°Ï«n¤W¨½«n¤W¸ô¤T¤­¢¯«Ñ¤­¤»¸¹,®ç¶é¥«Àt¤s°Ï«n¤W¨½,³¯²Q¼z¡@,34376666,ªÑ¥÷¦³­­¤½¥q,580101,710624,¥Í²£¤¤,14¤ì¦Ë»s«~»s³y·~,140¤ì¦Ë»s«~
½_­»¤u·~ªÑ¥÷¦³­­¤½¥q¤G¼t,S6600272,,»O¤¤¥«¤j¶®°Ï­ûªL¨½¤jªL¸ô55¸¹,»O¤¤¥«¤j¶®°Ï­ûªL¨½,¬x¥É­^,84624064,ªÑ¥÷¦³­­¤½¥q,,1090618,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
¨Î®a­¹«~¼t,S6600270,,»O¤¤¥«¤j¶®°Ï­ûªL¨½¤¤²M¸ô¥|¬q182«Ñ99¸¹,»O¤¤¥«¤j¶®°Ï­ûªL¨½,ªL¤å»í,19820555,¿W¸ê,,1090620,¥Í²£¤¤,08­¹«~»s³y·~,089¨ä¥L­¹«~
ÃÒ¬Û¤u·~¦³­­¤½¥q,S6600332,,»O¤¤¥«¤j¶®°Ï¨q¤s¨½¤W¤s¤G¸ô15¸¹,»O¤¤¥«¤j¶®°Ï¨q¤s¨½,³\Á÷,22379034,¦³­­¤½¥q,,1090622,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,251ª÷ÄÝ¤M¨ã¡B¤â¤u¨ã¤Î¼Ò¨ã¡B254ª÷ÄÝ¥[¤u³B²z
¥x¹F¥ø·~ªÀ,99695285,,·s¥_¥«·s²ø°Ï¦è²±¨½¥Á¦w¸ô¤T¤K¤C«Ñ¤@¤G¸¹¤G¼Ó,·s¥_¥«·s²ø°Ï¦è²±¨½,±iÀA¿³,13379759,¿W¸ê,,950324,¥Í²£¤¤,26¹q¤l¹s²Õ¥ó»s³y·~,264¥ú¹q§÷®Æ¤Î¤¸¥ó¡B269¨ä¥L¹q¤l¹s²Õ¥ó
²r¹F¤u·~ªÑ¥÷¦³­­¤½¥q¤G¼t,S0700741,,¹ü¤Æ¿¤®HÆQ¶m«n·s§ø¦nª÷¸ô¤T«Ñ36-5¸¹,¹ü¤Æ¿¤®HÆQ¶m«n·s§ø,·¨µn¶Q,22498159,ªÑ¥÷¦³­­¤½¥q,,1090623,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,251ª÷ÄÝ¤M¨ã¡B¤â¤u¨ã¤Î¼Ò¨ã
ª÷¦N¤h¦³­­¤½¥q,64008365,,°ª¶¯¥«¤j¼d°Ï·|µ²¨½·|µ²¤G¸ô296«Ñ16¸¹,°ª¶¯¥«¤j¼d°Ï·|µ²¨½,¦¿¬îªL,89798057,¦³­­¤½¥q,,1080401,¥Í²£¤¤,09¶¼®Æ»s³y·~,092«D°sºë¶¼®Æ
¤é¬õ¹ê·~ªÑ¥÷¦³­­¤½¥q¤G¼t,99624131,8.11E+12,®ç¶é¥«Àt¤s°Ï¨ß§|¨½¯ù±M¤@µó124¸¹¡]¦a¤U¤@¼Ó¡B1¡B2¼Ó¡^,®ç¶é¥«Àt¤s°Ï¨ß§|¨½,±i²K³s¡@¡@¡@,22806331,ªÑ¥÷¦³­­¤½¥q,810728,830128,¥Í²£¤¤,11¯¼Â´·~,114¬V¾ã
¦ÊÂ×¶Çªª³õ,S6700420,,»O«n¥«³Â¨§°Ï¥_¶Õ¨½¥[½û¨¹16¤§6¸¹,»O«n¥«³Â¨§°Ï¥_¶Õ¨½,³¢³Õ¾§,20257416,¿W¸ê,,1090826,¥Í²£¤¤,08­¹«~»s³y·~,081¦×Ãþ¥[¤u
ªFÂíºë¾÷ªÑ¥÷¦³­­¤½¥q,99612638,6.91E+12,·s¥_¥«¤T­«°Ï¤¤¿³¨½­«·s¸ô¤­¬q¤»¤G¤C«Ñ¤T¤@¸¹¤@¡B¤G¼Ó,·s¥_¥«¤T­«°Ï¤¤¿³¨½,·¨¥ì¾ì,35959148,ªÑ¥÷¦³­­¤½¥q,580101,710728,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~¡B25ª÷ÄÝ»s«~»s³y·~¡B28¹q¤O³]³Æ¤Î°t³Æ»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B293³q¥Î¾÷±ñ³]³Æ¡B291ª÷ÄÝ¥[¤u¥Î¾÷±ñ³]³Æ¡B251ª÷ÄÝ¤M¨ã¡B¤â¤u¨ã¤Î¼Ò¨ã¡B283¹q½u¤Î°t½u¾¹§÷¡B289¨ä¥L¹q¤O³]³Æ¤Î°t³Æ
¶©±o¿³¹ê·~¦³­­¤½¥q,S6600609,,»O¤¤¥«¤j¨½°Ï¤é·s¨½ÅK¸ôµó477¸¹,»O¤¤¥«¤j¨½°Ï¤é·s¨½,´¿©[¶©,13047491,¦³­­¤½¥q,,1090721,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,252ª÷ÄÝµ²ºc¤Î«Ø¿v²Õ¥ó
½Ë¥Ð¤u·~ªÑ¥÷¦³­­¤½¥q,65009021,,·s¥_¥«·s²ø°Ï¦è²±¨½·s¾ð¸ô269«Ñ5¸¹,·s¥_¥«·s²ø°Ï¦è²±¨½,ªL¸U¯q,35907557,ªÑ¥÷¦³­­¤½¥q,,1091124,¥Í²£¤¤,30¨T¨®¤Î¨ä¹s¥ó»s³y·~¡B31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~,303¨T¨®¹s¥ó¡B312¾÷¨®¤Î¨ä¹s¥ó
øÊ­Z¹ê·~¦³­­¤½¥q,66008484,,»O¤¤¥«¤j¨½°Ïª÷«°¨½¶î«°¸ô787«Ñ12¸¹1¼Ó,»O¤¤¥«¤j¨½°Ïª÷«°¨½,²øÀRªâ,42670136,¦³­­¤½¥q,,1090828,¥Í²£¤¤,16¦L¨ê¤Î¸ê®ÆÀx¦s´CÅé½Æ»s·~,160¦L¨ê¤Î¸ê®ÆÀx¦s´CÅé½Æ»s
ª÷Öö³Óºë±K¤u·~¦³­­¤½¥q,65008834,,·s¥_¥«·s²ø°Ï¦è²±¨½·s¾ð¸ô268«Ñ37¸¹(1¼Ó),·s¥_¥«·s²ø°Ï¦è²±¨½,²ø³ì´¼,54848762,¦³­­¤½¥q,,1090827,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,251ª÷ÄÝ¤M¨ã¡B¤â¤u¨ã¤Î¼Ò¨ã
¦Ê¯Ç±d°·¥Í§ÞªÑ¥÷¦³­­¤½¥q,66000832,,»O¤¤¥«¦è¤Ù°Ï¨ó©M¨½¤u·~°Ï¤T¤Q¤@¸ô18-1¸¹,»O¤¤¥«¦è¤Ù°Ï¨ó©M¨½,¯Î¿P¦p,53616384,ªÑ¥÷¦³­­¤½¥q,,1010120,¥Í²£¤¤,09¶¼®Æ»s³y·~,092«D°sºë¶¼®Æ
Ápµ¾¨T¨®¦³­­¤½¥q(¤æ«n¼t),9001012,,¶³ªL¿¤¤æ«nÂí¤pªF¨½¤j¦P¸ô497«Ñ47¸¹1¼Ó,¶³ªL¿¤¤æ«nÂí¤pªF¨½,¶À«p,42983263,¦³­­¤½¥q,,1090713,¥Í²£¤¤,30¨T¨®¤Î¨ä¹s¥ó»s³y·~,303¨T¨®¹s¥ó
µú¼y¿ûÅK¦³­­¤½¥q,S1000014,,¹Å¸q¿¤¥Á¶¯¶m¤j±T§ø¤Q¥|¥Ò820¸¹,¹Å¸q¿¤¥Á¶¯¶m¤j±T§ø,ÁÂ¼y©[,89225642,¦³­­¤½¥q,,1090429,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z
³Í¬fµn¹ê·~ªÑ¥÷¦³­­¤½¥q,S1000021,,¹Å¸q¿¤¥Á¶¯¶mºÖÅv§øºÖÅv83¤§16¸¹,¹Å¸q¿¤¥Á¶¯¶mºÖÅv§ø,¶¦©¨µÓ,16258476,ªÑ¥÷¦³­­¤½¥q,,1090429,¥Í²£¤¤,32®a¨ã»s³y·~,321«Dª÷ÄÝ®a¨ã
®¶·£¥æ³q¤uµ{¦³­­¤½¥q³À´ä¼t,S0700076,,¹ü¤Æ¿¤³À´äÂí¬v­í¨½³À¯ó¸ô¤T¬q260«Ñ3¸¹,¹ü¤Æ¿¤³À´äÂí¬v­í¨½,³¢¾ð«n,22084329,¦³­­¤½¥q,,1090429,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~,220¶ì½¦»s«~
©°èb¦³­­¤½¥q¤G¼t,S0700077,,¹ü¤Æ¿¤¨q¤ô¶m°¨¿³§ø¹ü°¨µó1-16¡B1-17¡B1-18¸¹,¹ü¤Æ¿¤¨q¤ô¶m°¨¿³§ø,·¨®aª@,28035959,¦³­­¤½¥q,,1090427,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~¡B33¨ä¥L»s³y·~¡B32®a¨ã»s³y·~¡B31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~,220¶ì½¦»s«~¡B331¨|¼Ö¥Î«~¡B321«Dª÷ÄÝ®a¨ã¡B313¦Û¦æ¨®¤Î¨ä¹s¥ó
¤[¬Ó¾÷±ñªÑ¥÷¦³­­¤½¥q,S0700082,,¹ü¤Æ¿¤¨q¤ô¶m²ø¶®§ø·Ë¤ßµó11«Ñ2¸¹¡B11«Ñ6¸¹,¹ü¤Æ¿¤¨q¤ô¶m²ø¶®§ø,¶Àªø¨F,59243849,ªÑ¥÷¦³­­¤½¥q,,1090429,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,253ª÷ÄÝ®e¾¹
½÷¦N¥ø·~¦³­­¤½¥q,S0700085,,¹ü¤Æ¿¤¨q¤ô¶m¦w·Ë§ø¦w·Ëµó112«ÑÁ{47¸¹,¹ü¤Æ¿¤¨q¤ô¶m¦w·Ë§ø,±çÀ²ºµ,16270964,¦³­­¤½¥q,,1090427,¥Í²£¤¤,30¨T¨®¤Î¨ä¹s¥ó»s³y·~¡B31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~,303¨T¨®¹s¥ó¡B312¾÷¨®¤Î¨ä¹s¥ó
ª÷³Óµo½Ã¯D¹ê·~¦³­­¤½¥q,S0700086,,¹ü¤Æ¿¤³À´äÂí¹ù­í¨½¹ù­í«Ñ97-6¸¹,¹ü¤Æ¿¤³À´äÂí¹ù­í¨½,Áé¥Ã©[,24617151,¦³­­¤½¥q,,1090427,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
¥þ¨Ý¥ø·~ªÀ,S6500446,,·s¥_¥«¾ðªL°Ï©Y¤º¨½¥ú©úµó21-1¸¹,·s¥_¥«¾ðªL°Ï©Y¤º¨½,¸âª÷½¬,31447998,¿W¸ê,,1090722,¥Í²£¤¤,11¯¼Â´·~,111¯¼¯½
°ª°a¥ø·~ªÑ¥÷¦³­­¤½¥q(¤@¼t),9000988,,¶³ªL¿¤¤æ«nÂí±N­x¨½±N­x19-2¸¹,¶³ªL¿¤¤æ«nÂí±N­x¨½,±i³{Ã¦,97339669,ªÑ¥÷¦³­­¤½¥q,,1090526,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,252ª÷ÄÝµ²ºc¤Î«Ø¿v²Õ¥ó
¬ü«Ó¤Æ¾ÇªÑ¥÷¦³­­¤½¥q,67002004,,»O«n¥««n°Ï¹ü«n¨½¤¤µØ¦è¸ô¤@¬q29¸¹1¼Ó,»O«n¥««n°Ï¹ü«n¨½,§f?¿^,69513309,ªÑ¥÷¦³­­¤½¥q,,1070306,¥Í²£¤¤,19¨ä¥L¤Æ¾Ç»s«~»s³y·~,193²M¼ä¥Î«~¤Î¤ÆùÛ«~
Üg­ì®ø¨¾¤u·~¦³­­¤½¥q,64009067,,°ª¶¯¥«¤¯ªZ°Ï¦Ë«á¨½»ñ¤¯¸ô287-45¸¹,°ª¶¯¥«¤¯ªZ°Ï¦Ë«á¨½,§õ¬F¿Ä,91070882,¦³­­¤½¥q,,1100625,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,293³q¥Î¾÷±ñ³]³Æ
¨Î«n¹ê·~ªÀ,S6700306,,»O«n¥«·s¤Æ°ÏÔw¤f¨½Ôw¤f163¤§50¸¹,»O«n¥«·s¤Æ°ÏÔw¤f¨½,½²¯À®Û,94972180,¿W¸ê,,1090724,¥Í²£¤¤,11¯¼Â´·~,111¯¼¯½
¶³®Ê¯¼Â´ªÑ¥÷¦³­­¤½¥q,99650174,7.31001E+12,¹ü¤Æ¿¤½u¦è¶m´J®H§øªu®ü¸ô¤@¬q¤E¤@¤C¸¹,¹ü¤Æ¿¤½u¦è¶m´J®H§ø,¶³¦³°]¡@,59345228,ªÑ¥÷¦³­­¤½¥q,730405,730627,¥Í²£¤¤,11¯¼Â´·~,112Â´¥¬
